Work Location,Region,Year,Number
Ireland,Europe,2020,21
Israel,Middle East,2020,58
India,Asia,2020,131
Iraq,Middle East,2020,1
Iran,Middle East,2020,5
Iceland,Europe,2020,2
Italy,Europe,2020,23
Japan,Asia,2020,129
Kenya,Africa,2020,22
Cambodia,Asia,2020,1
North Korea,Asia,2020,2
South Korea,Asia,2020,283
Lebanon,Middle East,2020,1
Sri Lanka,Asia,2020,1
Lithuania,Europe,2020,2
Luxembourg,Europe,2020,1
Latvia,Europe,2020,0
Morocco,Africa,2020,10
Mali,Africa,2020,1
Mauritius,Africa,2020,1
Malawi,Africa,2020,1
Mexico,Other Americas,2020,6
Malaysia,Asia,2020,2
Nigeria,Africa,2020,28
Netherlands,Europe,2020,106
Norway,Europe,2020,4
New Zealand,Oceania,2020,6
Peru,Other Americas,2020,4
Philippines,Asia,2020,4
Pakistan,Middle East,2020,2
Poland,Europe,2020,24
Portugal,Europe,2020,4
Qatar,Middle East,2020,1
Romania,Europe,2020,5
Russia,Europe,2020,39
Rwanda,Africa,2020,8
Saudi Arabia,Middle East,2020,11
Sudan,Africa,2020,2
Sweden,Europe,2020,19
Singapore,Asia,2020,63
Slovenia,Europe,2020,1
Senegal,Africa,2020,3
Somalia,Africa,2020,1
Swaziland,Africa,2020,0
Thailand,Asia,2020,3
Tunisia,Africa,2020,3
Turkey,Middle East,2020,4
Taiwan,Asia,2020,14
Tanzania,Africa,2020,3
Ukraine,Europe,2020,2
Uganda,Africa,2020,5
USA,USA,2020,1977
Uruguay,Other Americas,2020,1
Venezuela,Other Americas,2020,1
Vietnam,Asia,2020,16
South Africa,Africa,2020,32
Zimbabwe,Africa,2020,1
