Year,City,Dest_Latitude,Dest_Longitude
2020,"Addis Ababa, Ethiopia",9.0107934,38.7612525
2019,"New Orleans, Louisiana",29.9499323,-90.0701156
2018,"Vancouver, Canada",49.2608724,-123.1139529
