Year,City,Dest_Latitude,Dest_Longitude
2020,"Madison, Wisconsin",43.074761,-89.3837613
2019,"St. Louis, Missouri",38.6268039,-90.1994097
2018,"Denver, Colorado",39.7392364,-104.9848623
2017,"Austin, Texas",30.2711286,-97.7436995
2016,"San Diego, California",32.7174209,-117.1627714
