Year,room_cost,co2_per_night,breakfast_cost,lunch_cost,dinner_cost,total_food_cost,City
2020,159,36.901,13,15,23,51,"Tempe, Arizona"
2019,169,36.365,13,15,23,51,"Pittsburgh, Pennsylvania"
2018,134,28.571,13,15,23,51,"Lexington, Kentucky"
2016,202,21.53,18,19,34,71,"Bellevue, Washington"
2015,189,24.599,17,18,31,66,"Boston, Massachusetts"
