Year,City,Dest_Latitude,Dest_Longitude
2020,"Tempe, Arizona",33.4255056,-111.9400125
2019,"Pittsburgh, Pennsylvania",40.4416941,-79.9900861
2018,"Lexington, Kentucky",38.0464066,-84.4970393
2016,"Bellevue, Washington",47.6144219,-122.1923372
2015,"Boston, Massachusetts",42.3602534,-71.0582912
