Unnamed: 0,Work Location,Region,Year,Number,Origin_Latitude,Origin_Longitude,Local Attendee,Conference Location,Destination_Latitude,Destination_Longitude,Travel Distance (round trip km),Travel CO2 (tonnes),Travel Cost (USD)
37,Iraq,Middle East,2018,0,33.0955793,44.174977500000004,0,"Vancouver, Canada",49.2608724,-123.1139529,21542.85004188476,3.3464356158895474,1971.1707788324557
38,Iran,Middle East,2018,1,32.6475314,54.56435160000001,0,"Vancouver, Canada",49.2608724,-123.1139529,21808.801295715526,3.390080375984654,1995.5053185579704
39,Iceland,Europe,2018,0,64.9841821,-18.1059013,0,"Vancouver, Canada",49.2608724,-123.1139529,11572.606716683693,1.8001656696151942,1215.123705251788
40,Italy,Europe,2018,6,42.6384261,12.674297,0,"Vancouver, Canada",49.2608724,-123.1139529,17849.76975764874,2.7532544832849144,1874.225824553118
41,Japan,Asia,2018,64,36.5748441,139.2394179,0,"Vancouver, Canada",49.2608724,-123.1139529,15024.24628320726,2.3156494424086747,1577.5458597367624
42,Kenya,Africa,2018,0,1.4419683,38.431397499999996,0,"Vancouver, Canada",49.2608724,-123.1139529,28211.305748606963,4.4784039209436575,2581.334475997537
43,Cambodia,Asia,2018,0,13.5066394,104.869423,0,"Vancouver, Canada",49.2608724,-123.1139529,23205.569692376786,3.6213478259090817,2123.309626852476
44,North Korea,Asia,2018,1,40.37366110000001,127.08704170000001,0,"Vancouver, Canada",49.2608724,-123.1139529,15832.370453166508,2.43937172328141,1662.3988975824836
45,South Korea,Asia,2018,65,36.638391999999996,127.69611880000001,0,"Vancouver, Canada",49.2608724,-123.1139529,16398.613332983576,2.5267481706596966,1721.8543999632757
46,Lebanon,Middle East,2018,1,33.875062899999996,35.843409,0,"Vancouver, Canada",49.2608724,-123.1139529,21078.790953266427,3.2705782573046585,1928.709372223878
47,Sri Lanka,Asia,2018,0,7.555494199999999,80.7137847,0,"Vancouver, Canada",49.2608724,-123.1139529,26572.0724646957,4.1928803058944615,2431.3446305196567
48,Lithuania,Europe,2018,0,55.350000300000005,23.7499997,0,"Vancouver, Canada",49.2608724,-123.1139529,15964.119728489373,2.4596513988210713,1676.2325714913845
49,Luxembourg,Europe,2018,0,49.8158683,6.1296751,0,"Vancouver, Canada",49.2608724,-123.1139529,15965.929447198165,2.459930175063497,1676.4225919558075
50,Latvia,Europe,2018,0,56.8406494,24.7537645,0,"Vancouver, Canada",49.2608724,-123.1139529,15702.671123239841,2.4194374677794217,1648.7804679401836
51,Morocco,Africa,2018,0,31.1728205,-7.3362482,0,"Vancouver, Canada",49.2608724,-123.1139529,18104.754114567746,2.793437502048603,1900.9991820296136
52,Mali,Africa,2018,0,16.3700359,-2.2900238999999996,0,"Vancouver, Canada",49.2608724,-123.1139529,21384.951606111543,3.3205821717607695,1956.7230719592062
53,Mauritius,Africa,2018,0,-20.2759451,57.5703566,0,"Vancouver, Canada",49.2608724,-123.1139529,33583.11931239407,5.447258776438315,3072.8554170840575
54,Malawi,Africa,2018,0,-13.2687204,33.9301963,0,"Vancouver, Canada",49.2608724,-123.1139529,30991.842479862684,4.973549893985282,2835.7535869074354
55,Mexico,Other Americas,2018,0,19.4326296,-99.1331785,0,"Vancouver, Canada",49.2608724,-123.1139529,7888.675250382058,1.2731531290622615,946.6410300458471
56,Malaysia,Asia,2018,0,4.5693754,102.2656823,0,"Vancouver, Canada",49.2608724,-123.1139529,25211.193669732435,3.9594383622986973,2306.824220780518
57,Nigeria,Africa,2018,0,9.6000359,7.999972099999999,0,"Vancouver, Canada",49.2608724,-123.1139529,23854.315983918677,3.7299321475323297,2182.669912528559
58,Netherlands,Europe,2018,25,52.500169799999995,5.7480820999999995,0,"Vancouver, Canada",49.2608724,-123.1139529,15433.89474468788,2.3782220118675865,1620.5589481922275
59,Norway,Europe,2018,3,64.5731537,11.52803643954819,0,"Vancouver, Canada",49.2608724,-123.1139529,13528.016719106454,2.0896175976100406,1420.4417555061777
60,New Zealand,Oceania,2018,0,-41.5000831,172.83440769999999,0,"Vancouver, Canada",49.2608724,-123.1139529,23740.062761070312,3.7107551322250716,2172.2157426379335
61,Peru,Other Americas,2018,0,-6.8699697,-75.0458515,0,"Vancouver, Canada",49.2608724,-123.1139529,15562.902340118419,2.3979887655783854,1634.1047457124341
62,Philippines,Asia,2018,0,12.750348599999999,122.7312101,0,"Vancouver, Canada",49.2608724,-123.1139529,21204.95106080121,3.2911634399668515,1940.2530220633107
63,Pakistan,Middle East,2018,0,30.3308401,71.247499,0,"Vancouver, Canada",49.2608724,-123.1139529,22102.132116899385,3.438362902319791,2022.3450886962937
